x,y,z
72.4686,-132.298,1184.71
69.3668,-122.026,1183.1
66.7423,-115.849,1183.28
62.8135,-109.158,1184.77
58.4758,-103.463,1186.8
50.0946,-96.6591,1187.99
45.6842,-93.8604,1189.14
37.923,-91.9238,1189.93
31.2785,-91.965,1190.76
25.6515,-92.3881,1192.18
20.1814,-95.6268,1192.0
14.9994,-100.848,1191.2
12.0779,-103.812,1191.58
-4.41031,-120.184,1193.3
-9.32023,-122.207,1194.67
-12.2382,-127.689,1193.41
-15.1048,-132.425,1194.04
-15.4439,-138.285,1194.26
-12.6077,-144.526,1194.07
-6.41944,-150.665,1193.33
1.93019,-157.661,1191.86
8.36696,-162.313,1191.41
11.8384,-164.334,1191.81
22.7434,-165.951,1190.62
27.8352,-164.467,1188.0
39.3242,-165.866,1188.55
46.1438,-165.201,1188.05
61.2461,-161.881,1185.72
63.5436,-160.077,1184.03
66.8873,-155.138,1181.99
69.5622,-149.58,1182.04
71.3082,-142.209,1182.94
77.4592,-130.871,1195.11
75.2131,-119.083,1194.64
72.3914,-112.836,1194.96
67.3058,-106.067,1194.61
60.4764,-97.547,1196.59
54.633,-91.8303,1197.98
45.8206,-87.7099,1197.27
38.7596,-85.3527,1199.24
30.7092,-86.9628,1197.52
24.816,-88.4618,1198.6
19.8292,-91.6068,1198.12
12.8368,-98.7255,1196.88
8.62607,-103.602,1199.01
-7.73221,-117.326,1200.15
-11.8869,-121.513,1198.05
-15.7301,-125.666,1198.22
-19.2373,-132.438,1197.97
-19.5641,-139.197,1197.97
-15.6568,-149.461,1198.98
-12.911,-153.723,1199.8
-5.0828,-159.846,1199.21
3.84741,-165.771,1198.65
9.70314,-168.593,1198.42
17.4279,-171.89,1201.01
28.8794,-172.466,1200.7
37.3354,-170.323,1197.36
45.5174,-168.778,1196.13
59.7931,-166.598,1194.59
66.3073,-165.076,1194.59
71.5881,-159.487,1193.25
76.4823,-150.027,1193.76
77.9008,-141.075,1195.27
78.8768,-130.526,1211.12
77.5405,-120.542,1211.87
74.43,-112.47,1212.98
68.6736,-102.545,1211.34
61.842,-94.7902,1210.55
56.5582,-90.3543,1211.06
46.8655,-84.9028,1209.8
38.4731,-83.1875,1210.9
31.334,-84.0551,1211.07
26.2186,-86.209,1208.72
19.689,-90.7988,1204.73
14.1527,-96.4796,1203.97
0.0980808,-109.543,1211.12
-3.11554,-112.189,1210.62
-11.1002,-119.758,1203.19
-16.6492,-125.9,1203.22
-22.0833,-134.944,1206.96
-22.6539,-141.51,1209.83
-19.7681,-150.79,1211.89
-14.9638,-158.041,1210.85
-8.68264,-163.557,1212.4
0.353128,-168.965,1211.57
9.35881,-173.185,1211.71
17.3397,-175.119,1211.21
26.8852,-175.656,1211.3
36.3129,-174.237,1212.14
44.4978,-171.091,1210.34
59.5071,-166.741,1209.16
66.6777,-165.172,1209.58
72.1779,-159.938,1209.19
75.7101,-153.201,1208.85
78.4959,-137.678,1211.84
75.2113,-130.462,1225.58
73.8506,-121.16,1227.64
72.2362,-111.427,1225.48
67.9102,-104.667,1227.8
60.7001,-97.3048,1228.62
53.721,-91.0399,1226.05
46.2409,-87.1682,1225.19
38.9757,-86.2135,1226.1
36.0735,-85.3331,1221.76
33.182,-84.995,1217.18
15.1788,-104.435,1233.63
7.55952,-107.934,1227.98
4.09549,-109.711,1223.44
-0.257495,-112.603,1221.01
-0.361178,-114.788,1224.8
-5.11331,-128.628,1236.16
-17.7144,-142.734,1223.23
-17.695,-143.35,1224.08
-16.4944,-149.148,1224.51
-12.967,-157.0,1225.59
-6.76519,-163.438,1227.42
0.616797,-168.586,1228.03
9.72723,-173.114,1228.17
17.3586,-175.365,1227.6
28.6612,-175.777,1227.97
35.2369,-174.432,1227.32
43.3984,-170.114,1226.9
48.7103,-166.87,1224.86
63.475,-160.471,1223.05
68.3011,-155.387,1224.42
72.2754,-147.974,1224.51
74.0088,-138.671,1225.68
70.0621,-128.173,1235.38
69.0714,-118.155,1237.1
67.0762,-113.121,1238.3
63.5644,-106.378,1238.79
57.5311,-100.059,1239.52
50.7496,-94.4205,1237.93
45.7219,-92.6662,1238.2
41.4081,-92.367,1237.92
36.2676,-92.4376,1235.77
32.8634,-95.6803,1237.12
12.9415,-105.29,1247.28
11.0485,-106.123,1246.4
7.84925,-108.531,1246.11
4.5102,-112.791,1244.66
2.63521,-116.816,1244.5
-5.08343,-128.673,1237.39
-8.03014,-135.094,1236.16
-11.1235,-140.529,1233.61
-10.0334,-149.066,1233.39
-5.09289,-156.356,1238.78
-1.89211,-160.156,1240.74
3.73691,-164.851,1240.76
11.1589,-169.289,1240.63
18.0114,-171.097,1241.93
28.1107,-172.223,1241.06
34.4293,-170.186,1243.34
39.0821,-168.606,1241.34
44.6355,-164.503,1239.29
60.4246,-155.293,1230.77
63.1154,-149.888,1233.65
66.7014,-145.054,1233.36
68.4141,-138.286,1234.37
