Points_0,Points_1,Points_2
-22.3239,-144.48,1208.2
-22.4049,-142.836,1204.58
-22.615,-143.051,1207.61
-22.5515,-143.019,1209.27
-22.4436,-141.779,1204.19
-22.2698,-141.377,1203.15
-22.792,-141.283,1205.79
-22.5373,-142.621,1205.55
-22.7038,-141.679,1204.82
-22.6442,-142.587,1206.11
-22.6539,-141.51,1209.83
-22.8482,-140.86,1205.03
-22.6908,-140.537,1204.41
-22.9701,-140.173,1206.93
-22.9628,-139.562,1206.4
-22.6101,-139.548,1210.3
-22.4795,-140.047,1210.8
-22.3577,-139.796,1211.05
-22.7287,-138.94,1203.9
-22.9513,-139.38,1205.19
-23.0179,-139.077,1205.63
-23.0034,-137.951,1205.5
-22.8853,-138.846,1204.96
-23.0161,-138.957,1207.02
-22.9656,-138.344,1206.72
-22.9132,-138.858,1208.06
-22.5902,-136.644,1203.58
-22.9362,-137.811,1207.39
-22.7115,-137.742,1208.54
-22.4771,-136.611,1208.08
-22.5485,-135.768,1204.06
-22.3593,-134.73,1205.11
-22.7731,-136.246,1206.22
-22.5027,-135.621,1206.88
-20.9968,-148.187,1210.14
-21.0126,-147.73,1211.75
-21.1429,-146.954,1205.74
-21.5919,-146.527,1209.68
-21.4578,-146.861,1210.52
-21.6808,-144.846,1204.06
-21.4792,-144.531,1203.55
-22.0834,-144.487,1205.52
-22.0336,-144.289,1205.14
-21.7255,-145.043,1204.75
-21.7428,-145.792,1206.63
-21.9432,-145.634,1208.67
-21.9873,-144.715,1210.87
-21.6028,-144.732,1212.76
-21.1965,-145.55,1213.84
-21.6639,-142.787,1202.58
-21.2684,-144.073,1202.55
-22.0539,-142.824,1203.77
-21.8822,-144.086,1204
-21.8068,-142.971,1202.81
-21.8509,-142.93,1203.18
-21.9279,-142.638,1203
-22.1864,-143.074,1211.52
-21.3271,-143.696,1214.69
-21.4118,-143.477,1214.17
-21.3504,-143.158,1214.67
-21.4158,-142.816,1214.34
-21.5024,-141.992,1201.81
-21.865,-142.525,1202.78
-21.8567,-141.787,1213.3
-21.7906,-141.324,1213.36
-21.7194,-142.431,1213.57
-21.6846,-141.772,1213.8
-21.537,-141.386,1213.99
-21.4974,-142.162,1214.22
-21.5168,-141.766,1214.17
-21.2708,-142.409,1215.04
-21.2687,-141.772,1214.76
-21.1758,-140.986,1200.58
-21.5103,-140.793,1201.28
-22.2121,-140.832,1211.95
-21.9823,-140.358,1212.36
-21.5194,-140.754,1213.6
-21.0908,-140.104,1213.6
-21.6707,-139.353,1200.99
-21.4754,-137.918,1210.6
-22.1567,-138.925,1210.9
-21.7206,-138.683,1211.32
-21.0727,-138.791,1211.83
-20.9159,-137.058,1199.52
-22.0842,-137.116,1201.6
-22.1166,-136.502,1208.56
-21.3247,-136.637,1209.23
-21.7222,-136.966,1209.41
-20.9063,-137.411,1210.06
-21.622,-135.187,1201.03
-21.092,-135.941,1199.84
-22.1137,-135.215,1202.25
-22.2886,-134.901,1206.33
-22.1188,-135.414,1207.45
-22.0833,-134.944,1206.96
-21.6893,-134.663,1207.15
-21.7042,-136.074,1208.52
-21.0745,-135.215,1207.94
-21.2113,-134.182,1200.56
-21.59,-133.962,1201.58
-21.9754,-134.009,1203.17
-22.004,-133.882,1205.12
-21.6363,-133.396,1205.48
-21.5077,-133.648,1206.16
-21.2533,-134.358,1207.15
-21.3676,-132.919,1202
-21.0955,-132.079,1202.56
-21.4722,-132.689,1203.27
-20.9934,-131.774,1203.43
-19.3653,-151.53,1209.01
-19.7681,-150.79,1211.89
-19.4587,-150.811,1215.2
-19.2832,-151.309,1214.25
-19.9112,-149.576,1206.17
-20.2894,-149.392,1213.04
-19.5995,-149.98,1215.79
-19.5058,-149.432,1216.45
-20.6648,-148.778,1207.79
-20.1998,-148.212,1216.03
-20.2709,-147.579,1215.63
-19.9771,-148.181,1216.46
-19.8872,-147.772,1217.19
-19.856,-147.794,1217.59
-19.6474,-148.702,1217.17
-19.5519,-147.97,1218.02
-19.4446,-148.974,1217.48
-19.1662,-148.707,1218.58
-19.1547,-148.193,1219.25
-19.323,-147.517,1218.98
-20.4043,-145.931,1202.46
-19.8328,-146.939,1202.39
-19.7407,-146.816,1201.82
-19.5429,-146.454,1201.26
-20.3471,-147.416,1203.7
-20.392,-146.565,1203.16
-20.4771,-147.542,1214.86
-20.5713,-145.826,1215.97
-20.1507,-147.167,1216.81
-20.2242,-145.968,1217.27
-19.9694,-147.157,1217.56
-19.8322,-146.895,1218.05
-19.2441,-146.994,1219.81
-19.208,-146.283,1220.33
-19.0007,-144.808,1199.56
-20.4929,-145.839,1216.77
-20.0109,-144.67,1218.56
-19.4718,-145.096,1219.74
-20.1009,-143.253,1200.05
-20.5722,-144.028,1216.96
-20.6584,-143.407,1216.67
-20.5704,-144.233,1217.17
-20.5548,-143.769,1217.18
-20.3729,-144.248,1217.63
-20.4376,-143.552,1217.57
-20.3222,-142.949,1217.71
-19.7822,-143.606,1219.21
-19.307,-142.785,1219.93
-20.6506,-142.351,1216.5
-20.7056,-141.342,1215.55
-19.9126,-141.301,1216.57
-19.5076,-141.053,1216.21
-20.0821,-142.101,1217.59
-19.3066,-141.709,1218.16
-19.8037,-140.001,1198.59
-19.8995,-139.762,1213.15
-20.3314,-140.864,1215.39
-20.3314,-140.08,1213.98
-20.092,-140.522,1214.9
-19.7027,-140.428,1214.63
-20.3131,-138.148,1198.83
-19.878,-138.354,1198.16
-19.5641,-139.197,1197.97
-19.751,-139.12,1198.23
-19.9422,-137.968,1210.29
-20.4554,-138.426,1211.18
-19.3921,-137.727,1197.61
-19.195,-136.865,1197.21
-20.6852,-136.793,1199.2
-20.4905,-136.539,1198.8
-20.1762,-137.399,1198.39
-19.9396,-136.948,1198.16
-20.6649,-136.456,1209
-19.8617,-135.764,1198.03
-19.9903,-135.875,1208.28
-20.4656,-133.996,1199.28
-20.099,-133.215,1206.38
-19.7372,-132.129,1198.89
-19.2373,-132.438,1197.97
-20.4281,-132.289,1200.1
-20.5569,-132.088,1205.31
-19.4541,-131.844,1205.51
-20.5026,-132.919,1206.11
-19.6321,-131.138,1199.41
-20.0648,-131.366,1200.15
-19.3213,-130.003,1199.99
-20.4527,-131.308,1201.38
-20.2939,-130.92,1204
-19.6757,-129.758,1202.8
-20.3931,-131.316,1204.52
-19.7394,-131.269,1205.06
-19.5328,-130.362,1204.39
-19.691,-129.817,1201.87
-17.6764,-154.533,1210.41
-17.6739,-154.409,1209.69
-18.0834,-153.931,1214.43
-17.6668,-153.406,1206.75
-19.0867,-152.287,1210.58
-18.3982,-153.42,1210.54
-18.4875,-153.228,1211.79
-18.7932,-152.496,1213.44
-18.7809,-152.549,1214.81
-18.5088,-153.177,1214.19
-18.3834,-152.981,1215.22
-18.3071,-152.881,1216.19
-17.9129,-153.826,1215.83
-17.6581,-153.815,1217.01
-18.9182,-152.164,1213.86
-19.0013,-152.139,1214.58
-18.9627,-151.672,1215.45
-18.9251,-151.199,1216.57
-18.8038,-151.844,1215.81
-18.5455,-150.898,1218.22
-18.2044,-151.524,1219.12
-17.6008,-149.981,1201.71
